time/time_elapsed,rollout/exploration_rate,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean
2,0.9097500000000005,23.75,33,95,4,23.75
6,0.8118999999999996,24.75,32,198,8,24.75
7,0.7397000000000002,22.833333333333332,35,274,12,22.833333333333332
9,0.6827000000000001,20.875,36,334,16,20.875
11,0.5877000000000001,21.7,38,434,20,21.7
12,0.5307,20.583333333333332,38,494,24,20.583333333333332
14,0.4480499999999997,20.75,39,581,28,20.75
16,0.37299999999999955,20.625,40,660,32,20.625
17,0.32264999999999977,19.805555555555557,40,713,36,19.805555555555557
19,0.23050000000000037,20.25,41,810,40,20.25
21,0.14024999999999976,20.568181818181817,41,905,44,20.568181818181817
23,0.06710000000000049,20.458333333333332,41,982,48,20.458333333333332
26,0.05,21.21153846153846,42,1103,52,21.21153846153846
28,0.05,21.714285714285715,42,1216,56,21.714285714285715
29,0.05,21.233333333333334,42,1274,60,21.233333333333334
32,0.05,21.828125,43,1397,64,21.828125
34,0.05,22.220588235294116,43,1511,68,22.220588235294116
36,0.05,22.02777777777778,43,1586,72,22.02777777777778
38,0.05,22.105263157894736,43,1680,76,22.105263157894736
41,0.05,22.675,43,1814,80,22.675
43,0.05,22.642857142857142,43,1902,84,22.642857142857142
45,0.05,22.65909090909091,43,1994,88,22.65909090909091
48,0.05,23.26086956521739,44,2140,92,23.26086956521739
50,0.05,23.09375,44,2217,96,23.09375
52,0.05,23.11,44,2311,100,23.11
53,0.05,22.7,44,2365,104,22.7
55,0.05,22.4,44,2438,108,22.4
56,0.05,22.43,44,2517,112,22.43
59,0.05,23.06,44,2640,116,23.06
61,0.05,22.82,44,2716,120,22.82
63,0.05,23.39,44,2833,124,23.39
66,0.05,23.66,44,2947,128,23.66
68,0.05,23.82,44,3042,132,23.82
70,0.05,24.21,44,3134,136,24.21
72,0.05,24.1,44,3220,140,24.1
73,0.05,23.82,44,3287,144,23.82
75,0.05,23.76,44,3358,148,23.76
77,0.05,23.37,44,3440,152,23.37
78,0.05,23.08,44,3524,156,23.08
80,0.05,23.24,44,3598,160,23.24
82,0.05,22.71,44,3668,164,22.71
83,0.05,22.41,44,3752,168,22.41
85,0.05,22.39,44,3825,172,22.39
87,0.05,22.42,44,3922,176,22.42
91,0.05,22.68,44,4082,180,22.68
93,0.05,22.85,44,4187,184,22.85
95,0.05,22.81,44,4275,188,22.81
97,0.05,22.25,44,4365,192,22.25
99,0.05,22.39,44,4456,196,22.39
101,0.05,22.33,44,4544,200,22.33
102,0.05,22.45,44,4610,204,22.45
104,0.05,22.6,44,4698,208,22.6
106,0.05,22.67,44,4784,212,22.67
109,0.05,22.65,44,4905,216,22.65
111,0.05,22.85,44,5001,220,22.85
112,0.05,22.39,44,5072,224,22.39
114,0.05,22.1,44,5157,228,22.1
116,0.05,22.1,44,5252,232,22.1
119,0.05,22.31,45,5365,236,22.31
121,0.05,22.42,45,5462,240,22.42
122,0.05,22.38,45,5525,244,22.38
125,0.05,22.78,45,5636,248,22.78
126,0.05,22.61,45,5701,252,22.61
128,0.05,22.5,45,5774,256,22.5
130,0.05,22.79,45,5877,260,22.79
132,0.05,22.82,45,5950,264,22.82
133,0.05,22.72,45,6024,268,22.72
135,0.05,22.78,45,6103,272,22.78
137,0.05,22.59,45,6181,276,22.59
139,0.05,21.88,45,6270,280,21.88
140,0.05,21.66,45,6353,284,21.66
142,0.05,21.41,45,6416,288,21.41
145,0.05,21.82,45,6547,292,21.82
147,0.05,21.82,45,6638,296,21.82
148,0.05,21.52,45,6696,300,21.52
149,0.05,21.53,45,6763,304,21.53
152,0.05,21.62,45,6860,308,21.62
154,0.05,21.99,45,6983,312,21.99
156,0.05,21.47,45,7052,316,21.47
157,0.05,21.32,45,7133,320,21.32
159,0.05,21.18,45,7190,324,21.18
161,0.05,21.43,45,7300,328,21.43
163,0.05,21.45,45,7397,332,21.45
165,0.05,21.02,45,7467,336,21.02
167,0.05,21.15,45,7577,340,21.15
169,0.05,21.55,45,7680,344,21.55
171,0.05,21.36,45,7772,348,21.36
173,0.05,21.6,45,7861,352,21.6
175,0.05,21.81,45,7955,356,21.81
177,0.05,21.25,45,8002,360,21.25
179,0.05,21.64,45,8114,364,21.64
180,0.05,21.58,45,8182,368,21.58
182,0.05,21.61,45,8264,372,21.61
184,0.05,21.61,45,8342,376,21.61
186,0.05,21.61,45,8431,380,21.61
188,0.05,21.61,45,8514,384,21.61
189,0.05,21.79,45,8595,388,21.79
193,0.05,21.98,45,8745,392,21.98
195,0.05,22.06,45,8844,396,22.06
197,0.05,22.29,45,8925,400,22.29
199,0.05,22.68,45,9031,404,22.68
201,0.05,22.6,45,9120,408,22.6
203,0.05,22.37,45,9220,412,22.37
205,0.05,22.68,45,9320,416,22.68
207,0.05,22.87,45,9420,420,22.87
209,0.05,23.07,45,9497,424,23.07
211,0.05,22.79,45,9579,428,22.79
212,0.05,22.44,45,9641,432,22.44
214,0.05,22.36,45,9703,436,22.36
216,0.05,22.14,45,9791,440,22.14
219,0.05,22.52,45,9932,444,22.52
